,chapter,comments,date
2,1042,99,03/05/2018
5,1045,97,03/11/2018
6,1046,125,03/15/2018
7,1047,42,03/15/2018
8,1048,48,03/15/2018
9,1049,60,03/16/2018
10,1050,63,03/17/2018
11,1051,87,03/19/2018
12,1052,84,03/20/2018
13,1053,80,03/21/2018
14,1054,83,03/21/2018
15,1055,80,03/23/2018
16,1056,76,03/25/2018
17,1057,57,03/26/2018
18,1058,76,03/27/2018
19,1059,74,03/27/2018
20,1060,106,03/29/2018
21,1061,53,03/30/2018
23,1063,112,04/01/2018
24,1064,110,04/02/2018
25,1065,141,04/03/2018
26,1066,146,04/04/2018
27,1067,155,04/05/2018
29,1069,86,04/07/2018
30,1070,71,04/08/2018
32,1072,78,04/11/2018
33,1073,105,04/11/2018
34,1074,103,04/13/2018
35,1075,92,04/14/2018
36,1076,99,04/15/2018
37,1077,159,04/16/2018
38,1078,63,04/17/2018
39,1079,103,04/18/2018
40,1080,112,04/20/2018
41,1081,148,04/20/2018
42,1082,67,04/21/2018
43,1083,65,04/22/2018
44,1084,68,04/23/2018
45,1085,71,04/24/2018
