chapter,comments,date
858,73,10/28/2018
859,34,10/31/2018
860,68,10/31/2018
861,30,11/01/2018
862,52,11/01/2018
863,32,11/02/2018
864,46,11/02/2018
865,27,11/03/2018
866,61,11/03/2018
867,43,11/04/2018
868,42,11/04/2018
869,27,11/06/2018
870,54,11/06/2018
871,16,11/08/2018
872,80,11/08/2018
873,23,11/10/2018
874,49,11/10/2018
875,55,11/11/2018
876,52,11/13/2018
877,68,11/13/2018
878,26,11/15/2018
879,50,11/15/2018
880,28,11/17/2018
881,58,11/18/2018
882,39,11/20/2018
883,67,11/20/2018
884,66,11/21/2018
885,66,11/22/2018
886,48,11/24/2018
887,86,11/24/2018
888,68,12/01/2018
889,0,12/03/2018
890,81,12/05/2018
891,80,12/07/2018
892,112,12/08/2018
893,145,12/09/2018
894,112,12/10/2018
895,116,12/11/2018
896,61,12/13/2018
897,65,12/14/2018
898,66,12/16/2018
899,60,12/17/2018
900,82,12/18/2018
901,72,12/20/2018
902,37,12/21/2018
903,60,12/23/2018
904,63,12/24/2018
905,80,12/25/2018
906,27,12/26/2018
907,79,12/26/2018
908,94,12/27/2018
909,67,12/31/2018
910,54,01/01/2019
911,66,01/03/2019
912,58,01/04/2019
913,69,01/05/2019
914,84,01/07/2019
915,75,01/08/2019
916,51,01/09/2019
917,65,01/11/2019
918,62,01/12/2019
919,65,01/14/2019
920,52,01/15/2019
921,50,01/17/2019
922,56,01/18/2019
923,47,01/19/2019
924,55,01/21/2019
925,99,01/22/2019
926,52,01/25/2019
927,109,01/26/2019
928,59,01/27/2019
929,71,01/28/2019
930,47,01/29/2019
931,57,01/30/2019
932,41,02/01/2019
933,82,02/02/2019
934,55,02/06/2019
935,76,02/06/2019
936,55,02/07/2019
937,89,02/07/2019
938,113,02/07/2019
939,90,02/11/2019
940,71,02/12/2019
941,109,02/13/2019
942,81,02/14/2019
943,87,02/15/2019
944,111,02/18/2019
945,37,02/20/2019
946,113,02/20/2019
947,112,02/22/2019
948,65,03/01/2019
949,70,03/01/2019
950,58,03/01/2019
951,54,03/01/2019
952,43,03/01/2019
953,84,03/01/2019
954,79,03/04/2019
955,69,03/05/2019
956,173,03/06/2019
957,77,03/08/2019
958,120,03/09/2019
959,60,03/11/2019
960,125,03/12/2019
961,140,03/14/2019
962,90,03/15/2019
963,91,03/16/2019
964,81,03/19/2019
965,161,03/20/2019
966,121,03/22/2019
967,97,03/23/2019
968,167,03/24/2019
969,78,03/27/2019
970,101,03/27/2019
971,60,03/29/2019
972,41,03/30/2019
973,50,03/31/2019
974,68,04/01/2019
975,94,04/03/2019
976,104,04/08/2019
977,66,04/09/2019
978,26,04/11/2019
979,55,04/11/2019
980,74,04/12/2019
981,39,04/14/2019
982,34,04/14/2019
983,64,04/14/2019
984,67,04/16/2019
985,47,04/19/2019
986,46,04/20/2019
987,52,04/21/2019
988,72,04/21/2019
989,55,04/23/2019
990,97,04/26/2019
991,106,04/27/2019
992,31,04/28/2019
993,54,04/28/2019
994,35,05/01/2019
995,36,05/02/2019
996,52,05/03/2019
997,46,05/05/2019
998,84,05/05/2019
999,77,05/09/2019
1000,127,05/10/2019
